GoogleMetroArea,trends_geocode,typearea,GeoName,State,zip_code
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4124
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4040
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4109
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4002
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4862
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4013
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4216
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4123
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4090
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4240
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4579
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4568
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4228
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3812
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4539
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3904
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4962
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3816
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4010
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3590
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4565
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4563
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4355
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4263
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4268
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4342
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4043
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4363
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3906
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4940
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3581
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4092
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4855
